name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
lixia,33,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
herrerafrancisco,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0]
pakzadshamimn,8,2,0.57143,1.00000,0.72727, [0 0 0 0 0 0 0 0], [0 0 1 1 1 1 1 1]
zaniolocarlo,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
zhangyunpeng,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
rodriguesjoeljpc,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
chenwei,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
wanglongde,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 0 0 0 0 1]
bouamranekarim,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
jeyanthin,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
simeonjerome,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
chungyehching,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
huangmaolin,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
changjaewoo,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1]
dhavachelvanp,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
karthiks,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
jiangwei,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
bajwahassan,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
gugulothunarsimha,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
kimjeongjoon,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
xiedong,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
parkjeongmin,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
qinxiao,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
eldawyahmed,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
safilipe,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
elsayedayman,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
huangzhiwei,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
cappiellogiuseppe,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
heshunmin,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
stathiskostas,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
sharmasanjiv,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
liyongsheng,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
average,,,0.70848,1.00000,0.82937
