name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
chasukwon,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
limhankwon,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
khoobanmohammadhassan,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
rezkhegazy,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
liujianguo,9,3,0.36111,1.00000,0.53061, [0 0 0 0 0 0 0 0 0], [0 0 0 0 0 1 2 2 2 2 2 2]
yangbo,8,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
zhangxiaoshun,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
spagnuologiovanni,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
zerhouninoureddine,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
dharbiproranjan,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
linbin,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0 0 0 0 0 0]
brusgrzegorz,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
hameyerkay,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
ghadiminoradin,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
average,,,0.82341,1.00000,0.90316
