name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
이장명,13,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 0]
박준구,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
정회경,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
이상문,11,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0]
이재창,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
정명진,10,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0]
김경준,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
문형필,8,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0]
권상주,13,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 0]
박석호,6,2,0.46667,1.00000,0.63636, [0 0 0 0 0 0], [0 0 0 0 1 1]
황헌,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0]
한성익,6,2,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 0 0 1 1 1]
정석태,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
차보남,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
최영규,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1]
정종대,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
최병욱,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
강형주,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
오준호,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이경환,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
박광현,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0]
양현석,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
김영식,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
서범주,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
윤상석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
배재형,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김기훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김성현,6,3,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 1 1 1 1 2]
정광욱,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김영선,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
이동현,6,3,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 1 1 1 1 2]
김대원,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
이정우,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
이승준,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
김미정,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
한성현,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
김성신,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이상용,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 0 0 0 0 1]
김현진,11,2,0.81818,1.00000,0.90000, [0 0 0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1 1 1]
김종윤,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
백주훈,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
홍현기,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0]
김종욱,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
정길도,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
최호림,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
최재혁,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
김동환,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
average,,,0.65864,0.91489,0.76590
