name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
유재수,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0]
황지영,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1]
김민경,5,3,0.30000,1.00000,0.46154, [0 0 0 0 0], [0 1 1 1 2]
이지현,6,3,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 1 1 1 1 2]
김민수,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
김경백,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김근형,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김은경,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
김상욱,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
average,,,0.44074,0.88889,0.58929
