name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
신용태,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
김종훈,9,3,0.44444,1.00000,0.61538, [0 0 0 0 0 0 0 0 0], [0 0 1 1 1 1 1 1 2]
김도완,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 0 1 1]
이주현,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
김종호,5,3,0.33333,0.50000,0.40000, [1 2 0 0 0], [0 1 1 2 2]
김재일,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
이성학,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
김현수,7,2,0.52381,1.00000,0.68750, [0 0 0 0 0 0 0], [0 0 0 0 0 1 1]
박재준,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
강재우,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
이해정,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
홍성욱,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이재영,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
정석찬,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김병만,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김성필,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
송태경,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
임희석,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
박성현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
이인호,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
김영민,7,3,0.23810,1.00000,0.38462, [0 0 0 0 0 0 0], [0 0 0 1 1 2 2]
이종민,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
김성신,6,2,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 0 0 1 1 1]
김철홍,6,2,0.46667,1.00000,0.63636, [0 0 0 0 0 0], [0 0 1 1 1 1]
정요셉,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
이상엽,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
정민영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
