name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
신영주,9,2,0.50000,1.00000,0.66667, [0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 1 1 1]
장항배,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
박원형,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 0 0 0 0 1]
이태진,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
김용민,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
길준민,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
신용태,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0]
박대진,8,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0]
김동현,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
정원기,7,2,0.42857,1.00000,0.60000, [0 0 0 0 0 0 0], [0 0 0 1 1 1 1]
이상근,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 0 0 0 0 1]
박경덕,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
김중헌,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
황재준,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김영한,11,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0]
박영호,7,2,0.42857,1.00000,0.60000, [0 0 0 0 0 0 0], [0 0 0 1 1 1 1]
윤희용,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
허준,8,2,0.57143,1.00000,0.72727, [0 0 0 0 0 0 0 0], [0 0 1 1 1 1 1 1]
이의진,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
곽정호,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
황성운,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
엄태원,5,3,0.20000,1.00000,0.33333, [0 0 0 0 0], [0 0 1 2 2]
박현희,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
김영진,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
장진수,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 0 1 1]
김주영,5,4,0.10000,1.00000,0.18182, [0 0 0 0 0], [0 1 1 2 3]
박수현,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 0 1 2]
김대영,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 0 1 2]
정진만,8,2,0.46429,1.00000,0.63415, [0 0 0 0 0 0 0 0], [0 0 0 1 1 1 1 1]
정종필,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
한창희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
임종범,6,2,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 0 0 1 1 1]
박성민,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
백장운,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
엄영익,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
박은영,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이상진,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
박진호,3,2,0.00000,0.00000,0.00000, [2 1 0], [0 1 1]
김동균,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
장민석,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
정광수,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
민경식,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
조희승,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
김원태,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이상훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
윤주범,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
이경용,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0]
박상현,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
김진환,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
길현영,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
김현철,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
유혁,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
이상준,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
이성진,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
문수복,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
홍지만,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1]
홍대식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김도경,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
권현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
홍충선,9,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0]
박현선,3,2,0.00000,0.00000,0.00000, [1 2 0], [0 1 1]
이종혁,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
이연식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
최재영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
추현승,3,1,0.00000,0.00000,0.00000, [2 1 0], [0 0 0]
이정우,6,3,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 1 1 1 1 2]
고영배,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김대원,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
박민용,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이동훈,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
정용호,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
노종선,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김지홍,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
박종웅,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김세진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
조성현,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
송영준,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
최정민,4,2,1.00000,1.00000,1.00000, [1 0 0 0], [0 1 1 1]
진성근,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
김병서,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
조기춘,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
신상욱,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
노광현,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이강희,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0]
average,,,0.60048,0.95238,0.73656
