name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
이상권,15,2,0.86667,1,0.92857, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],0.8666666666666667
김선우,5,2,0.6,1,0.75, [0 0 0 0 0], [0 0 0 0 1],0.6
김성권,3,1,1,1,1, [0 0 0], [0 0 0],1.0
문원규,7,2,0.71429,1,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1],0.7142857142857143
노용래,10,1,1,1,1, [0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0],1.0
Kang,4,1,1,1,1, [0 0 0 0], [0 0 0 0],1.0
변준호,5,2,0.6,1,0.75, [0 0 0 0 0], [0 1 1 1 1],0.6
김재수,9,1,1,1,1, [0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0],1.0
Desmet,4,2,0.5,1,0.66667, [0 0 0 0], [0 0 0 1],0.5
Cheer,4,1,1,1,1, [0 0 0 0], [0 0 0 0],1.0
Feng,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Kang,11,3,0.43636,1,0.60759, [0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 1 1 1 2],0.43636363636363634
Hou,4,2,0.5,1,0.66667, [0 0 0 0], [0 0 0 1],0.5
Chen,6,2,0.46667,1,0.63636, [0 0 0 0 0 0], [0 0 1 1 1 1],0.4666666666666667
Marburg,4,2,0.33333,1,0.5, [0 0 0 0], [0 0 1 1],0.3333333333333333
Mancini,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Huang,4,2,0.5,1,0.66667, [0 0 0 0], [0 0 0 1],0.5
Wang,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Tang,4,1,1,1,1, [0 0 0 0], [0 0 0 0],1.0
ABE,4,1,1,1,1, [0 0 0 0], [0 0 0 0],1.0
Xin,3,1,1,1,1, [0 0 0], [0 0 0],1.0
SAKUMA,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
Chih-Kung Lee,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
Mohany,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
Palmer,4,1,1,1,1, [0 0 0 0], [0 0 0 0],1.0
Abhayapala,3,3,0,0,0, [0 0 0], [0 1 2],0.0
Dreschler,3,3,0,0,0, [0 0 0], [0 1 2],0.0
Li,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
Spence,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Mauszycki,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Cheng,8,1,1,1,1, [0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0],1.0
Hua,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
Zhang,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Cesari,4,1,1,1,1, [0 0 0 0], [0 0 0 0],1.0
Kim,5,1,1,1,1, [0 0 0 0 0], [0 0 0 0 0],1.0
Huang,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
Berto,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
Cath,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Wu,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
Vanneste,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Chen,4,2,0.5,1,0.66667, [0 0 0 0], [0 0 0 1],0.5
Touhafi,4,2,0.33333,1,0.5, [0 0 0 0], [0 0 1 1],0.3333333333333333
Serafin,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
Rao,4,2,0.5,1,0.66667, [0 0 0 0], [0 0 0 1],0.5
Amado-Mendes,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Sereda,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
Liu,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Wang,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Taylor,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
Liu,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Desmet,5,1,1,1,1, [0 0 0 0 0], [0 0 0 0 0],1.0
Zhang,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
조진호,6,3,0.26667,1,0.42105, [0 0 0 0 0 0], [0 1 1 1 2 2],0.26666666666666666
조익순,3,1,1,1,1, [0 0 0], [0 0 0],1.0
