name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
lixia,33,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1.0
herrerafrancisco,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
pakzadshamimn,8,2,0.57143,1.00000,0.72727, [0 0 0 0 0 0 0 0], [0 0 1 1 1 1 1 1],0.5714285714285714
zaniolocarlo,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
zhangyunpeng,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0],1.0
rodriguesjoeljpc,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
chenwei,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
wanglongde,6,2,0.66667,1.00000,0.80000, [0 0 0 0 0 0], [0 0 0 0 0 1],0.6666666666666666
bouamranekarim,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
jeyanthin,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
simeonjerome,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
chungyehching,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
huangmaolin,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
changjaewoo,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1],0.6
dhavachelvanp,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
karthiks,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
jiangwei,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
bajwahassan,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
gugulothunarsimha,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
kimjeongjoon,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
xiedong,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
parkjeongmin,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
qinxiao,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
eldawyahmed,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
safilipe,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
elsayedayman,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
huangzhiwei,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
cappiellogiuseppe,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
heshunmin,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
stathiskostas,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
sharmasanjiv,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
liyongsheng,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
average,,,0.70848,1.00000,0.82937,0.7084821428571428
