name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
남상훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이현정,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
강인석,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
이병권,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 0 1 2],0.16666666666666666
박구만,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
김동호,7,2,0.52381,1.00000,0.68750, [0 0 0 0 0 0 0], [0 0 1 1 1 1 1],0.5238095238095238
김지수,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
송창근,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이명원,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
정은영,6,3,0.26667,1.00000,0.42105, [0 0 0 0 0 0], [0 0 1 1 1 2],0.26666666666666666
이정미,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1],0.4
홍성광,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
이상원,6,2,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 0 0 1 1 1],0.4
이경훈,7,2,0.52381,1.00000,0.68750, [0 0 0 0 0 0 0], [0 0 0 0 0 1 1],0.5238095238095238
박성준,11,5,0.18182,1.00000,0.30769, [0 0 0 0 0 0 0 0 0 0 0], [0 0 1 1 1 2 2 2 2 3 4],0.18181818181818182
류은석,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이상훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김은주,9,5,0.19444,1.00000,0.32558, [0 0 0 0 0 0 0 0 0], [0 1 1 2 2 2 2 3 4],0.19444444444444445
이동민,5,4,0.10000,1.00000,0.18182, [0 0 0 0 0], [0 1 1 2 3],0.1
김경훈,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 2 2],0.16666666666666666
전석희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
이태수,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
강지영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김상호,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김성훈,6,3,0.26667,1.00000,0.42105, [0 0 0 0 0 0], [0 0 1 1 1 2],0.26666666666666666
이지혜,6,4,0.13333,1.00000,0.23529, [0 0 0 0 0 0], [0 0 1 1 2 3],0.13333333333333333
정하형,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
배종환,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
유미,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
김익현,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0],1.0
윤형철,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
권오병,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
윤혜영,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
김대식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
주재흠,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
강석중,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이영란,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
태효식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
최성진,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
오진석,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
문용호,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김소연,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
박경신,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김금영,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
류지헌,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0],1.0
김기범,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
박상현,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
이은주,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김태희,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
김동현,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
조동식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
박준형,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
박인규,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
유태경,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
한수정,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
황희준,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김태룡,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김정환,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
이영준,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이현진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
