name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
유재수,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
정은경,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
황지은,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김명호,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김응모,12,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0],1.0
김윤희,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
정성원,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
장석우,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이상철,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
황재정,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
average,,,0.66667,0.80000,0.72727,0.6666666666666667
