name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
서철헌,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
장봉주,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
정동훈,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
김시호,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이영우,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
최희수,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
김재호,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
김민정,5,4,0.10000,1.00000,0.18182, [0 0 0 0 0], [0 1 1 2 3],0.1
유태경,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김지현,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
한규훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이병권,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
이현정,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
이경선,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
박세현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김지은,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
김원석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
최기주,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김지연,5,4,0.10000,1.00000,0.18182, [0 0 0 0 0], [0 1 1 2 3],0.1
장동련,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이재수,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
김수진,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
김종규,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이재인,9,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0],1.0
김영주,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
김영찬,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
김선경,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김경수,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
박세운,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
average,,,0.43793,0.75862,0.55530,0.4379310344827587
