name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
신용태,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
김종훈,9,3,0.44444,1.00000,0.61538, [0 0 0 0 0 0 0 0 0], [0 0 1 1 1 1 1 1 2],0.4444444444444444
김도완,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 0 1 1],0.4
이주현,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
김종호,5,3,0.33333,0.50000,0.40000, [1 2 0 0 0], [0 1 1 2 2],0.7
김재일,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
이성학,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
김현수,7,2,0.52381,1.00000,0.68750, [0 0 0 0 0 0 0], [0 0 0 0 0 1 1],0.5238095238095238
박재준,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
강재우,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
이해정,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
홍성욱,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이재영,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
정석찬,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김병만,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김성필,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
송태경,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
임희석,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
박성현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
이인호,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
김영민,7,3,0.23810,1.00000,0.38462, [0 0 0 0 0 0 0], [0 0 0 1 1 2 2],0.23809523809523808
이종민,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
김성신,6,2,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 0 0 1 1 1],0.4
김철홍,6,2,0.46667,1.00000,0.63636, [0 0 0 0 0 0], [0 0 1 1 1 1],0.4666666666666667
정요셉,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
이상엽,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
정민영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김영철,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
김병수,5,3,0.20000,1.00000,0.33333, [0 0 0 0 0], [0 0 1 1 2],0.2
신동준,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
김준수,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
김준하,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
이정우,8,6,0.07143,1.00000,0.13333, [0 0 0 0 0 0 0 0], [0 0 1 1 2 3 4 5],0.07142857142857142
문현준,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1],0.4
이동환,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
임종범,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
이희석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김동근,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김기현,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
박현태,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김희영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
윤명근,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김현진,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 0 1 1],0.4
노승민,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김경환,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김수진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
강현욱,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이종욱,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
김태환,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이상헌,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
최재영,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1],0.6
이웅희,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
김성환,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김형진,7,2,0.52381,1.00000,0.68750, [0 0 0 0 0 0 0], [0 0 1 1 1 1 1],0.5238095238095238
임성훈,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
박준석,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 0 1 2],0.16666666666666666
민창기,6,2,0.46667,1.00000,0.63636, [0 0 0 0 0 0], [0 0 1 1 1 1],0.4666666666666667
김지환,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
최우영,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1],0.4
유재현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이상현,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
정해준,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김태정,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
이은지,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
김남수,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
이상원,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 1 1 1],0.4
이진석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김영진,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
이상혁,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
김미정,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
이정재,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김동규,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
김태훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
최상현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
박성민,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
한정희,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김종욱,5,3,0.20000,1.00000,0.33333, [0 0 0 0 0], [0 0 1 1 2],0.2
조병관,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
홍충선,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김영주,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김태형,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
박재완,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
황미경,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
박주연,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
오원근,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
김성은,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김주영,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
서태원,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
