name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
김남호,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
윤주상,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
신경욱,12,2,0.46970,1.00000,0.63918, [0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 1 1 1 1 1],0.4696969696969697
윤기완,8,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0],1.0
정진우,10,3,0.62222,1.00000,0.76712, [0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 1 2],0.6222222222222222
박대진,14,2,0.85714,1.00000,0.92308, [0 0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 0 1],0.8571428571428571
김재훈,15,2,0.65714,1.00000,0.79310, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 1 1 1],0.6571428571428571
윤민호,5,3,0.20000,1.00000,0.33333, [0 0 0 0 0], [0 0 1 1 2],0.2
박지수,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
박요한,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김지민,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
신성호,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김한종,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김지언,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1],0.6
이상신,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 0 1 1],0.4
이상근,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1],0.3333333333333333
우윤성,5,2,0.40000,1.00000,0.57143, [0 0 0 0 0], [0 0 0 1 1],0.4
김종덕,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
김진영,12,3,0.31818,1.00000,0.48276, [0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 1 1 1 2 2 2 2 2 2],0.3181818181818182
