name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
박태원,10,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0],1.0
김성수,14,2,0.85714,1.00000,0.92308, [0 0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 0 1],0.8571428571428571
이경수,16,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1.0
이형철,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
황성호,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
허건수,8,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0],1.0
구정서,9,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0],1.0
강주석,13,4,0.57692,1.00000,0.73171, [0 0 0 0 0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0 0 1 2 3],0.5769230769230769
정기범,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김정태,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
유완석,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0],1.0
김영철,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
박신석,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
이진희,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김용환,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
최재웅,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김형우,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
하정호,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
안다훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
양석조,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
배대성,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
안창선,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
정진태,9,2,0.77778,1.00000,0.87500, [0 0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 1 1],0.7777777777777778
구자춘,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
이광수,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김기운,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
송문석,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
우승민,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
김재관,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
나재원,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
이창건,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이지홍,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1],0.6
박준홍,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
최성훈,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이희성,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
김석원,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
한형석,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
전창성,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
강연식,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
박영준,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 0 1 2],0.16666666666666666
박영진,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
김용주,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1],0.3333333333333333
김경수,7,3,0.47619,1.00000,0.64516, [0 0 0 0 0 0 0], [0 0 0 0 0 1 2],0.47619047619047616
정재일,7,2,0.52381,1.00000,0.68750, [0 0 0 0 0 0 0], [0 0 1 1 1 1 1],0.5238095238095238
박장현,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 0 0 0 1],0.6
박노철,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이승준,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1],0.7142857142857143
박재용,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이동준,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
정정주,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김성한,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
강석원,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이찬화,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
average,,,0.73697,0.96226,0.83468,0.7369709954615616
